prb_id,src_addr,type_addr,region,cc,asn_4,asn_6,prefix_4,prefix_6,rtt,min,max,avg
2252,2a01:2a8:0:fffe:220:4aff:fee0:2271,IPv6,ripe,CH,1836,1836,146.228.0.0/16,2a01:2a8::/29, 3.300097,3.300097,63.228685,24.9671736667
2252,2a01:2a8:0:fffe:220:4aff:fee0:2271,IPv6,ripe,CH,1836,1836,146.228.0.0/16,2a01:2a8::/29,  63.228685,3.300097,63.228685,24.9671736667
27055,2001:9e8:3034:a000:16cc:20ff:fe48:be12,IPv6,ripe,DE,8881,8881,87.123.240.0/21,2001:9e8:2000::/35, 9.786876,7.581225,9.786876,8.360024
27055,2001:9e8:3034:a000:16cc:20ff:fe48:be12,IPv6,ripe,DE,8881,8881,87.123.240.0/21,2001:9e8:2000::/35, 7.711971,7.581225,9.786876,8.360024
27055,2001:9e8:3034:a000:16cc:20ff:fe48:be12,IPv6,ripe,DE,8881,8881,87.123.240.0/21,2001:9e8:2000::/35,  7.581225,7.581225,9.786876,8.360024
28137,2a02:2698:842a:1a8:f6f2:6dff:fe5d:a454,IPv6,ripe,RU,39028,39028,5.164.4.0/22,2a02:2698:842a::/48, 34.598919,32.19476,34.598919,33.2475206667
28137,2a02:2698:842a:1a8:f6f2:6dff:fe5d:a454,IPv6,ripe,RU,39028,39028,5.164.4.0/22,2a02:2698:842a::/48, 32.19476,32.19476,34.598919,33.2475206667
28137,2a02:2698:842a:1a8:f6f2:6dff:fe5d:a454,IPv6,ripe,RU,39028,39028,5.164.4.0/22,2a02:2698:842a::/48,  32.948883,32.19476,34.598919,33.2475206667
32032,2a02:908:d87:d20:1ad6:c7ff:fe22:50c6,IPv6,ripe,DE,3209,3209,84.118.0.0/16,2a02:908::/33, 61.084069,12.361623,61.084069,28.607472
32032,2a02:908:d87:d20:1ad6:c7ff:fe22:50c6,IPv6,ripe,DE,3209,3209,84.118.0.0/16,2a02:908::/33, 12.361623,12.361623,61.084069,28.607472
32032,2a02:908:d87:d20:1ad6:c7ff:fe22:50c6,IPv6,ripe,DE,3209,3209,84.118.0.0/16,2a02:908::/33,  12.376724,12.361623,61.084069,28.607472
4164,2a01:430:0:2b:280:a3ff:fe91:3fe8,IPv6,ripe,CZ,24971,24971,89.185.224.0/19,2a01:430::/32, 8.97485,6.799874,34.084614,16.6197793333
4164,2a01:430:0:2b:280:a3ff:fe91:3fe8,IPv6,ripe,CZ,24971,24971,89.185.224.0/19,2a01:430::/32, 6.799874,6.799874,34.084614,16.6197793333
4164,2a01:430:0:2b:280:a3ff:fe91:3fe8,IPv6,ripe,CZ,24971,24971,89.185.224.0/19,2a01:430::/32,  34.084614,6.799874,34.084614,16.6197793333
